MASS        E           DATA        ERR-S
88.         0.5         0.760608    0.085073
88.         0.7         0.779105    0.0875459
88.         0.9         0.691262    0.0835861
88.         1.1         0.646303    0.0833492
88.         1.3         0.580234    0.0809173
88.         1.5         0.691842    0.0905447
88.         1.7         0.352703    0.0669711
88.         1.9         0.334555    0.066221
88.         2.1         0.185583    0.0502491
88.         2.3         0.233947    0.058023
88.         2.5         0.177475    0.052329
88.         2.7         0.104635    0.0400544
88.         2.9         0.0988688   0.0385205
88.         3.1         0.0726279   0.0327356
88.         3.3         0.136951    0.0464395
88.         3.5         0.0445773   0.0261797
88.         3.7         0.0576063   0.0336444
88.         3.9         0.0900386   0.0453162
88.         4.1         0.          0.
88.         4.3         0.          0.
88.         4.5         0.          0.
88.         4.7         0.          0.
88.         4.9         0.          0.
88.         5.1         0.          0.
88.         5.3         0.          0.
88.         5.5         0.          0.
88.         5.7         0.0864207   0.0501075
88.         5.9         0.          0.
88.         6.1         0.          0.
88.         6.3         0.          0.
88.         6.5         0.          0.
88.         6.7         0.          0.
88.         6.9         0.          0.
88.         7.1         0.          0.
88.         7.3         0.          0.
88.         7.5         0.          0.
88.         7.7         0.          0.
88.         7.9         0.          0.
88.         8.1         0.          0.
88.         8.3         0.          0.
88.         8.5         0.          0.
88.         8.7         0.          0.
88.         8.9         0.          0.
88.         9.1         0.          0.
88.         9.3         0.          0.
88.         9.5         0.          0.
88.         9.7         0.          0.
88.         9.9         0.          0.
88.         10.1        0.          0.
88.         10.3        0.          0.
88.         10.5        0.          0.
88.         10.7        0.          0.
88.         10.9        0.          0.
88.         11.1        0.          0.
88.         11.3        0.          0.
88.         11.5        0.          0.
88.         11.7        0.          0.
88.         11.9        0.          0.
88.         12.1        0.          0.
88.         12.3        0.          0.
88.         12.5        0.          0.
88.         12.7        0.          0.
88.         12.9        0.          0.
88.         13.1        0.          0.
88.         13.3        0.          0.
88.         13.5        0.          0.
88.         13.7        0.          0.
88.         13.9        0.          0.
88.         14.1        0.          0.
88.         14.3        0.          0.
88.         14.5        0.          0.
88.         14.7        0.          0.
88.         14.9        0.          0.
89.         0.1         0.42354     0.0503316
89.         0.3         0.779993    0.0674814
89.         0.5         0.792013    0.0688967
89.         0.7         0.827024    0.0726142
89.         0.9         0.707558    0.0678096
89.         1.1         0.553337    0.062536
89.         1.3         0.554142    0.0630211
89.         1.5         0.449474    0.05852
89.         1.7         0.242641    0.0438731
89.         1.9         0.261133    0.0463799
89.         2.1         0.321006    0.0528146
89.         2.3         0.25755     0.0471322
89.         2.5         0.215748    0.0442222
89.         2.7         0.225964    0.048008
89.         2.9         0.0964907   0.032757
89.         3.1         0.100117    0.0346388
89.         3.3         0.100756    0.0361032
89.         3.5         0.0426681   0.0214104
89.         3.7         0.0422148   0.0244927
89.         3.9         0.0595193   0.0274572
89.         4.1         0.          0.
89.         4.3         0.          0.
89.         4.5         0.0412741   0.0247888
89.         4.7         0.          0.
89.         4.9         0.          0.
89.         5.1         0.          0.
89.         5.3         0.          0.
89.         5.5         0.          0.
89.         5.7         0.          0.
89.         5.9         0.          0.
89.         6.1         0.          0.
89.         6.3         0.          0.
89.         6.5         0.          0.
